:Data_list: 20231019_ace_swepam_1m.txt
:Created: 2023 Oct 19 2201 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2023 10 19  0000   60236       0    0        1.6      385.3     7.74e+04
2023 10 19  0001   60236      60    0        1.6    -9999.9    -1.00e+05
2023 10 19  0002   60236     120    1        1.9      389.0     9.89e+04
2023 10 19  0003   60236     180    0        1.6      387.4     7.60e+04
2023 10 19  0004   60236     240    0        1.4      389.5     9.34e+04
2023 10 19  0005   60236     300    0        1.4      388.5     9.91e+04
2023 10 19  0006   60236     360    0        1.5      388.2     8.69e+04
2023 10 19  0007   60236     420    0        1.6      388.3     8.35e+04
2023 10 19  0008   60236     480    0        1.7      386.7     9.14e+04
2023 10 19  0009   60236     540    0        1.6      385.1     9.49e+04
2023 10 19  0010   60236     600    0        1.6      383.8     9.68e+04
2023 10 19  0011   60236     660    0        1.6      381.4     9.55e+04
2023 10 19  0012   60236     720    0        1.6      382.0     7.26e+04
2023 10 19  0013   60236     780    0        1.6      388.5     7.36e+04
2023 10 19  0014   60236     840    0        1.3      386.9     6.89e+04
2023 10 19  0015   60236     900    1        1.6      383.7     8.31e+04
2023 10 19  0016   60236     960    1        1.8      382.5     1.01e+05
2023 10 19  0017   60236    1020    1        1.8      378.2     6.81e+04
2023 10 19  0018   60236    1080    0        1.9      380.1     7.94e+04
2023 10 19  0019   60236    1140    1        1.9      385.2     1.22e+05
2023 10 19  0020   60236    1200    1        2.0      386.1     1.39e+05
2023 10 19  0021   60236    1260    0        2.3      386.3     1.35e+05
2023 10 19  0022   60236    1320    0        2.3      386.4     1.25e+05
2023 10 19  0023   60236    1380    0        2.2      384.9     1.31e+05
2023 10 19  0024   60236    1440    0        2.1      380.5     1.13e+05
2023 10 19  0025   60236    1500    1        1.9      380.4     1.07e+05
2023 10 19  0026   60236    1560    0        1.9      384.6     1.36e+05
2023 10 19  0027   60236    1620    1        2.0      384.7     1.44e+05
2023 10 19  0028   60236    1680    1        2.0      388.9     1.72e+05
2023 10 19  0029   60236    1740    1        2.1      393.4     1.77e+05
2023 10 19  0030   60236    1800    0        1.9      392.5     1.53e+05
2023 10 19  0031   60236    1860    0        1.5      378.8     1.01e+05
2023 10 19  0032   60236    1920    1        1.9      388.3     1.57e+05
2023 10 19  0033   60236    1980    1        2.1      383.4     1.51e+05
2023 10 19  0034   60236    2040    1        2.2      383.1     1.51e+05
2023 10 19  0035   60236    2100    1        2.0      376.2     7.09e+04
2023 10 19  0036   60236    2160    1        2.0      382.8     1.23e+05
2023 10 19  0037   60236    2220    0        2.2      387.2     1.47e+05
2023 10 19  0038   60236    2280    0        1.9      387.2     1.17e+05
2023 10 19  0039   60236    2340    1        1.9      382.3     8.45e+04
2023 10 19  0040   60236    2400    1        2.0      380.5     8.47e+04
2023 10 19  0041   60236    2460    0        2.1      382.8     9.38e+04
2023 10 19  0042   60236    2520    0        2.0      385.7     1.13e+05
2023 10 19  0043   60236    2580    0        1.9      392.0     1.58e+05
2023 10 19  0044   60236    2640    0        1.9      397.7     1.74e+05
2023 10 19  0045   60236    2700    1        1.7      393.1     1.52e+05
2023 10 19  0046   60236    2760    0        1.6      386.9     8.69e+04
2023 10 19  0047   60236    2820    0        1.1      380.4     9.41e+04
2023 10 19  0048   60236    2880    0        1.3      382.3     7.96e+04
2023 10 19  0049   60236    2940    0        1.3      386.9     8.73e+04
2023 10 19  0050   60236    3000    0        1.3      387.4     7.94e+04
2023 10 19  0051   60236    3060    0        1.3      387.2     8.16e+04
2023 10 19  0052   60236    3120    0        1.5      388.2     8.76e+04
2023 10 19  0053   60236    3180    0        1.5      390.0     9.10e+04
2023 10 19  0054   60236    3240    0        1.8      393.3     9.00e+04
2023 10 19  0055   60236    3300    0        2.2      396.2     9.00e+04
2023 10 19  0056   60236    3360    0        2.2      398.5     9.78e+04
2023 10 19  0057   60236    3420    0        2.0      399.0     1.04e+05
2023 10 19  0058   60236    3480    0        1.7      396.9     9.84e+04
2023 10 19  0059   60236    3540    0        1.5      393.2     9.30e+04
2023 10 19  0100   60236    3600    1        1.7      390.8     9.53e+04
2023 10 19  0101   60236    3660    0        1.6      393.2     9.24e+04
2023 10 19  0102   60236    3720    0        1.6      388.8     9.89e+04
2023 10 19  0103   60236    3780    0        1.6      385.8     9.44e+04
2023 10 19  0104   60236    3840    0        1.7      394.5     9.70e+04
2023 10 19  0105   60236    3900    0        1.6      396.8     9.76e+04
2023 10 19  0106   60236    3960    0        1.7      398.1     1.00e+05
2023 10 19  0107   60236    4020    0        1.7      398.2     1.01e+05
2023 10 19  0108   60236    4080    0        1.7      398.9     9.91e+04
2023 10 19  0109   60236    4140    0        1.7      399.6     1.04e+05
2023 10 19  0110   60236    4200    0        1.7      401.6     1.08e+05
2023 10 19  0111   60236    4260    0        1.8      401.9     1.06e+05
2023 10 19  0112   60236    4320    0        1.9      401.0     9.81e+04
2023 10 19  0113   60236    4380    0        1.9      397.5     9.47e+04
2023 10 19  0114   60236    4440    0        1.9      394.3     9.45e+04
2023 10 19  0115   60236    4500    0        1.9      395.6     8.68e+04
2023 10 19  0116   60236    4560    0        2.0      397.3     9.29e+04
2023 10 19  0117   60236    4620    0        2.6      406.5     1.18e+05
2023 10 19  0118   60236    4680    0        2.2      404.2     8.93e+04
2023 10 19  0119   60236    4740    0        2.2      407.2     8.93e+04
2023 10 19  0120   60236    4800    0        2.1      409.7     8.97e+04
2023 10 19  0121   60236    4860    0        2.4      407.3     8.67e+04
2023 10 19  0122   60236    4920    0        2.3      404.9     8.95e+04
2023 10 19  0123   60236    4980    0        2.4      406.0     8.63e+04
2023 10 19  0124   60236    5040    0        3.3      403.6     8.90e+04
2023 10 19  0125   60236    5100    0        3.0      408.3     7.98e+04
2023 10 19  0126   60236    5160    0        2.5      410.6     8.15e+04
2023 10 19  0127   60236    5220    0        3.0      410.8     8.30e+04
2023 10 19  0128   60236    5280    0        3.3      409.4     1.26e+05
2023 10 19  0129   60236    5340    0        3.1      408.2     1.57e+05
2023 10 19  0130   60236    5400    0        3.2      405.1     1.37e+05
2023 10 19  0131   60236    5460    1        3.1      400.4     1.38e+05
2023 10 19  0132   60236    5520    0        3.0      402.1     1.44e+05
2023 10 19  0133   60236    5580    1        3.5      396.7     1.33e+05
2023 10 19  0134   60236    5640    0        2.9      398.8     1.20e+05
2023 10 19  0135   60236    5700    1        3.6      392.2     1.14e+05
2023 10 19  0136   60236    5760    1        4.1      393.8     1.53e+05
2023 10 19  0137   60236    5820    1        4.3      396.5     1.74e+05
2023 10 19  0138   60236    5880    1        3.9      401.3     1.55e+05
2023 10 19  0139   60236    5940    0        3.6      404.8     1.34e+05
2023 10 19  0140   60236    6000    0        3.6      405.3     1.31e+05
2023 10 19  0141   60236    6060    1        4.0      401.1     1.76e+05
2023 10 19  0142   60236    6120    0        3.5      404.1     1.46e+05
2023 10 19  0143   60236    6180    1        3.7      404.6     1.37e+05
2023 10 19  0144   60236    6240    1        4.2      401.1     1.56e+05
2023 10 19  0145   60236    6300    1        4.0      403.2     1.57e+05
2023 10 19  0146   60236    6360    0        3.5      410.8     1.39e+05
2023 10 19  0147   60236    6420    0        3.7      409.1     1.44e+05
2023 10 19  0148   60236    6480    1        4.4      400.4     1.53e+05
2023 10 19  0149   60236    6540    0        3.7      403.8     1.36e+05
2023 10 19  0150   60236    6600    0        3.6      402.8     1.44e+05
2023 10 19  0151   60236    6660    0        3.6      404.9     1.52e+05
2023 10 19  0152   60236    6720    0        2.6      407.0     1.13e+05
2023 10 19  0153   60236    6780    0        2.4      406.2     1.14e+05
2023 10 19  0154   60236    6840    0        2.8      403.1     1.17e+05
2023 10 19  0155   60236    6900    0        2.9      400.4     1.29e+05
2023 10 19  0156   60236    6960    0        3.0      400.1     1.35e+05
2023 10 19  0157   60236    7020    0        2.9      400.2     1.22e+05
2023 10 19  0158   60236    7080    0        3.6      413.8     1.23e+05
2023 10 19  0159   60236    7140    0        4.0      412.5     1.09e+05
2023 10 19  0200   60236    7200    0        4.4      412.8     1.09e+05
2023 10 19  0201   60236    7260    0        4.4      419.2     1.12e+05
2023 10 19  0202   60236    7320    0        3.8      416.0     1.01e+05
2023 10 19  0203   60236    7380    0        3.6      411.5     1.02e+05
2023 10 19  0204   60236    7440    0        3.5      409.8     9.70e+04
2023 10 19  0205   60236    7500    0        3.7      411.0     9.45e+04
2023 10 19  0206   60236    7560    0        3.6      411.6     9.18e+04
2023 10 19  0207   60236    7620    0        3.5      412.6     9.17e+04
2023 10 19  0208   60236    7680    0        3.5      411.1     8.84e+04
2023 10 19  0209   60236    7740    0        3.4      410.1     9.40e+04
2023 10 19  0210   60236    7800    0        3.6      408.4     8.79e+04
2023 10 19  0211   60236    7860    0        3.6      406.1     8.90e+04
2023 10 19  0212   60236    7920    0        3.5      406.1     9.43e+04
2023 10 19  0213   60236    7980    0        3.5      406.3     9.58e+04
2023 10 19  0214   60236    8040    0        3.3      405.7     8.97e+04
2023 10 19  0215   60236    8100    0        3.2      405.2     8.82e+04
2023 10 19  0216   60236    8160    0        3.1      404.6     8.96e+04
2023 10 19  0217   60236    8220    0        3.2      405.5     8.96e+04
2023 10 19  0218   60236    8280    0        3.3      404.5     8.71e+04
2023 10 19  0219   60236    8340    0        3.3      400.1     8.81e+04
2023 10 19  0220   60236    8400    0        3.3      399.5     8.73e+04
2023 10 19  0221   60236    8460    0        3.4      400.1     8.63e+04
2023 10 19  0222   60236    8520    0        3.2      398.2     8.97e+04
2023 10 19  0223   60236    8580    0        3.3      399.1     9.75e+04
2023 10 19  0224   60236    8640    0        2.9      398.8     9.96e+04
2023 10 19  0225   60236    8700    0        3.2      399.1     9.34e+04
2023 10 19  0226   60236    8760    0        3.3      400.2     9.81e+04
2023 10 19  0227   60236    8820    0        3.5      399.6     9.36e+04
2023 10 19  0228   60236    8880    0        3.4      401.1     9.95e+04
2023 10 19  0229   60236    8940    0        3.3      401.7     1.08e+05
2023 10 19  0230   60236    9000    0        3.3      401.8     9.83e+04
2023 10 19  0231   60236    9060    0        3.3      400.5     9.40e+04
2023 10 19  0232   60236    9120    0        3.1      399.1     9.65e+04
2023 10 19  0233   60236    9180    0        3.0      399.2     1.01e+05
2023 10 19  0234   60236    9240    0        3.0      399.4     1.03e+05
2023 10 19  0235   60236    9300    0        3.1      398.9     9.99e+04
2023 10 19  0236   60236    9360    0        3.1      399.5     1.03e+05
2023 10 19  0237   60236    9420    0        3.1      400.3     1.02e+05
2023 10 19  0238   60236    9480    0        3.0      400.3     9.66e+04
2023 10 19  0239   60236    9540    0        3.0      401.2     9.65e+04
2023 10 19  0240   60236    9600    0        3.0      395.6     1.10e+05
2023 10 19  0241   60236    9660    1        2.6      391.1     8.82e+04
2023 10 19  0242   60236    9720    0        2.9      395.1     9.58e+04
2023 10 19  0243   60236    9780    0        2.6      393.6     1.08e+05
2023 10 19  0244   60236    9840    0        2.4      393.7     1.13e+05
2023 10 19  0245   60236    9900    0        2.9      393.1     1.01e+05
2023 10 19  0246   60236    9960    0        3.2      392.7     9.56e+04
2023 10 19  0247   60236   10020    0        2.4      400.7     1.49e+05
2023 10 19  0248   60236   10080    0        2.4      398.7     1.52e+05
2023 10 19  0249   60236   10140    0        2.2      396.6     1.44e+05
2023 10 19  0250   60236   10200    0        2.3      393.5     1.37e+05
2023 10 19  0251   60236   10260    0        2.7      388.0     1.38e+05
2023 10 19  0252   60236   10320    0        2.4      386.9     1.13e+05
2023 10 19  0253   60236   10380    0        2.4      387.8     1.07e+05
2023 10 19  0254   60236   10440    0        3.0      401.8     9.13e+04
2023 10 19  0255   60236   10500    0        3.0      402.9     9.24e+04
2023 10 19  0256   60236   10560    0        3.0      401.0     9.74e+04
2023 10 19  0257   60236   10620    0        2.8      404.6     9.12e+04
2023 10 19  0258   60236   10680    0        2.7      401.1     9.45e+04
2023 10 19  0259   60236   10740    0        2.7      399.1     9.28e+04
2023 10 19  0300   60236   10800    0        2.8      398.8     1.02e+05
2023 10 19  0301   60236   10860    0        2.6      397.7     9.82e+04
2023 10 19  0302   60236   10920    0        2.5      397.9     1.02e+05
2023 10 19  0303   60236   10980    0        2.4      398.2     1.02e+05
2023 10 19  0304   60236   11040    0        2.4      398.4     9.78e+04
2023 10 19  0305   60236   11100    0        2.3      398.9     9.46e+04
2023 10 19  0306   60236   11160    0        2.2      399.8     9.17e+04
2023 10 19  0307   60236   11220    0        2.4      400.6     9.03e+04
2023 10 19  0308   60236   11280    0        2.7      400.0     8.89e+04
2023 10 19  0309   60236   11340    0        2.8      399.9     9.36e+04
2023 10 19  0310   60236   11400    0        2.9      400.1     9.52e+04
2023 10 19  0311   60236   11460    0        3.2      400.7     9.05e+04
2023 10 19  0312   60236   11520    0        3.1      398.3     8.84e+04
2023 10 19  0313   60236   11580    0        3.0      398.3     8.54e+04
2023 10 19  0314   60236   11640    0        3.1      399.4     9.05e+04
2023 10 19  0315   60236   11700    0        2.9      398.5     8.83e+04
2023 10 19  0316   60236   11760    0        2.9      397.1     9.08e+04
2023 10 19  0317   60236   11820    0        2.9      396.4     9.49e+04
2023 10 19  0318   60236   11880    0        2.8      397.3     9.76e+04
2023 10 19  0319   60236   11940    0        2.8      397.9     9.83e+04
2023 10 19  0320   60236   12000    0        2.6      395.6     9.55e+04
2023 10 19  0321   60236   12060    0        2.6      396.7     9.47e+04
2023 10 19  0322   60236   12120    0        2.6      396.2     9.49e+04
2023 10 19  0323   60236   12180    0        2.5      393.0     9.26e+04
2023 10 19  0324   60236   12240    0        2.3      393.4     8.19e+04
2023 10 19  0325   60236   12300    0        2.5      394.1     8.44e+04
2023 10 19  0326   60236   12360    0        2.6      393.2     8.97e+04
2023 10 19  0327   60236   12420    0        2.7      393.0     8.08e+04
2023 10 19  0328   60236   12480    0        2.6      395.3     8.97e+04
2023 10 19  0329   60236   12540    0        2.5      394.9     1.06e+05
2023 10 19  0330   60236   12600    0        2.3      393.4     9.78e+04
2023 10 19  0331   60236   12660    0        2.4      396.3     9.77e+04
2023 10 19  0332   60236   12720    0        2.5      398.2     1.01e+05
2023 10 19  0333   60236   12780    0        2.8      398.8     1.00e+05
2023 10 19  0334   60236   12840    0        2.6      396.1     9.42e+04
2023 10 19  0335   60236   12900    0        2.4      395.7     8.89e+04
2023 10 19  0336   60236   12960    0        2.5      396.8     8.99e+04
2023 10 19  0337   60236   13020    0        2.4      395.2     9.38e+04
2023 10 19  0338   60236   13080    0        2.4      393.5     9.31e+04
2023 10 19  0339   60236   13140    0        2.3      394.8     8.80e+04
2023 10 19  0340   60236   13200    0        2.4      393.3     8.73e+04
2023 10 19  0341   60236   13260    0        2.6      390.9     9.34e+04
2023 10 19  0342   60236   13320    0        2.7      390.1     9.43e+04
2023 10 19  0343   60236   13380    0        2.5      388.2     8.59e+04
2023 10 19  0344   60236   13440    0        2.5      392.0     9.12e+04
2023 10 19  0345   60236   13500    0        2.5      391.4     9.11e+04
2023 10 19  0346   60236   13560    0        2.5      389.2     8.62e+04
2023 10 19  0347   60236   13620    0        2.3      388.4     8.09e+04
2023 10 19  0348   60236   13680    0        2.5      388.6     8.45e+04
2023 10 19  0349   60236   13740    0        2.6      388.0     9.45e+04
2023 10 19  0350   60236   13800    0        2.5      388.4     9.43e+04
2023 10 19  0351   60236   13860    0        2.6      388.6     9.54e+04
2023 10 19  0352   60236   13920    0        2.7      388.4     9.80e+04
