:Data_list: 20211218_ace_mag_1m.txt
:Created: 2021 Dec 19 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 12 18  0000   59566       0    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0001   59566      60    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0002   59566     120    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0003   59566     180    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0004   59566     240    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0005   59566     300    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0006   59566     360    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0007   59566     420    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0008   59566     480    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0009   59566     540    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0010   59566     600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0011   59566     660    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0012   59566     720    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0013   59566     780    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0014   59566     840    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0015   59566     900    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0016   59566     960    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0017   59566    1020    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0018   59566    1080    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0019   59566    1140    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0020   59566    1200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0021   59566    1260    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0022   59566    1320    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0023   59566    1380    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0024   59566    1440    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0025   59566    1500    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0026   59566    1560    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0027   59566    1620    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0028   59566    1680    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0029   59566    1740    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0030   59566    1800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0031   59566    1860    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0032   59566    1920    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0033   59566    1980    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0034   59566    2040    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0035   59566    2100    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0036   59566    2160    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0037   59566    2220    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0038   59566    2280    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0039   59566    2340    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0040   59566    2400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0041   59566    2460    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0042   59566    2520    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0043   59566    2580    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0044   59566    2640    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0045   59566    2700    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0046   59566    2760    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0047   59566    2820    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0048   59566    2880    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0049   59566    2940    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0050   59566    3000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0051   59566    3060    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0052   59566    3120    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0053   59566    3180    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0054   59566    3240    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0055   59566    3300    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0056   59566    3360    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0057   59566    3420    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0058   59566    3480    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0059   59566    3540    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0100   59566    3600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0101   59566    3660    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0102   59566    3720    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0103   59566    3780    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0104   59566    3840    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0105   59566    3900    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0106   59566    3960    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0107   59566    4020    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0108   59566    4080    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0109   59566    4140    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0110   59566    4200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0111   59566    4260    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0112   59566    4320    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0113   59566    4380    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0114   59566    4440    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0115   59566    4500    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0116   59566    4560    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0117   59566    4620    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0118   59566    4680    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0119   59566    4740    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0120   59566    4800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0121   59566    4860    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0122   59566    4920    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0123   59566    4980    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0124   59566    5040    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0125   59566    5100    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 18  0126   59566    5160    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
