:Data_list: 20211214_ace_mag_1m.txt
:Created: 2021 Dec 15 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 12 14  0000   59562       0    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0001   59562      60    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0002   59562     120    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0003   59562     180    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0004   59562     240    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0005   59562     300    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0006   59562     360    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0007   59562     420    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0008   59562     480    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0009   59562     540    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0010   59562     600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0011   59562     660    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0012   59562     720    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0013   59562     780    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0014   59562     840    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0015   59562     900    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0016   59562     960    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0017   59562    1020    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0018   59562    1080    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0019   59562    1140    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0020   59562    1200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0021   59562    1260    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0022   59562    1320    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0023   59562    1380    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0024   59562    1440    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0025   59562    1500    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0026   59562    1560    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0027   59562    1620    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0028   59562    1680    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0029   59562    1740    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0030   59562    1800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0031   59562    1860    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0032   59562    1920    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0033   59562    1980    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 14  0034   59562    2040    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
