:Data_list: 20220111_ace_mag_1m.txt
:Created: 2022 Jan 11 1701 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2022 01 11  0000   59590       0    0    -3.0    -0.9    -2.2     3.8   -35.6   196.7
2022 01 11  0001   59590      60    0    -3.2    -0.9    -2.4     4.0   -35.6   195.5
2022 01 11  0002   59590     120    0    -3.0    -0.8    -2.5     4.0   -38.6   194.6
2022 01 11  0003   59590     180    0    -2.9    -0.8    -2.4     3.9   -38.5   194.6
2022 01 11  0004   59590     240    0    -3.0    -0.9    -2.3     3.9   -35.7   196.4
2022 01 11  0005   59590     300    0    -3.0    -0.9    -2.2     3.8   -35.0   196.4
2022 01 11  0006   59590     360    0    -3.2    -0.9    -2.2     3.9   -33.9   195.5
2022 01 11  0007   59590     420    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0008   59590     480    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0009   59590     540    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0010   59590     600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0011   59590     660    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0012   59590     720    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0013   59590     780    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0014   59590     840    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0015   59590     900    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0016   59590     960    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0017   59590    1020    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0018   59590    1080    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0019   59590    1140    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 01 11  0020   59590    1200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
