:Data_list: 20220111_ace_swepam_1m.txt
:Created: 2022 Jan 11 1701 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 01 11  0000   59590       0    0        5.1      396.5     4.44e+04
2022 01 11  0001   59590      60    0        5.3      395.8     4.70e+04
2022 01 11  0002   59590     120    0        5.1      398.8     3.94e+04
2022 01 11  0003   59590     180    0        5.1      398.3     4.50e+04
2022 01 11  0004   59590     240    0        5.3      395.0     3.78e+04
2022 01 11  0005   59590     300    0        5.9      396.2     3.97e+04
2022 01 11  0006   59590     360    0        5.3      407.1     1.37e+05
2022 01 11  0007   59590     420    0        5.2      409.3     1.56e+05
2022 01 11  0008   59590     480    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0009   59590     540    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0010   59590     600    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0011   59590     660    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0012   59590     720    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0013   59590     780    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0014   59590     840    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0015   59590     900    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0016   59590     960    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0017   59590    1020    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0018   59590    1080    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0019   59590    1140    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0020   59590    1200    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0021   59590    1260    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0022   59590    1320    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0023   59590    1380    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0024   59590    1440    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0025   59590    1500    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0026   59590    1560    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0027   59590    1620    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0028   59590    1680    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0029   59590    1740    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0030   59590    1800    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0031   59590    1860    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0032   59590    1920    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0033   59590    1980    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0034   59590    2040    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0035   59590    2100    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0036   59590    2160    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0037   59590    2220    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0038   59590    2280    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0039   59590    2340    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0040   59590    2400    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0041   59590    2460    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0042   59590    2520    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0043   59590    2580    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0044   59590    2640    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0045   59590    2700    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0046   59590    2760    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0047   59590    2820    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0048   59590    2880    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0049   59590    2940    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0050   59590    3000    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0051   59590    3060    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0052   59590    3120    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0053   59590    3180    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0054   59590    3240    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0055   59590    3300    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0056   59590    3360    9    -9999.9    -9999.9    -1.00e+05
