:Data_list: 20211223_ace_mag_1m.txt
:Created: 2021 Dec 24 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 12 23  0000   59571       0    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0001   59571      60    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0002   59571     120    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0003   59571     180    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0004   59571     240    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0005   59571     300    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0006   59571     360    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0007   59571     420    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0008   59571     480    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0009   59571     540    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0010   59571     600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0011   59571     660    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0012   59571     720    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0013   59571     780    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0014   59571     840    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0015   59571     900    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0016   59571     960    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0017   59571    1020    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0018   59571    1080    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0019   59571    1140    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0020   59571    1200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0021   59571    1260    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 12 23  0022   59571    1320    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
